Rank,School,S,Aces,PerSet
3,Daemen,36,88,2.44
5,Penn St.,86,183,2.13
2,BYU,81,139,1.72
18,North Greenville,66,113,1.71
17,UCLA,80,127,1.59
6,Hawaii,65,103,1.58
16,NJIT,65,102,1.57
33,Saint Francis (PA),103,155,1.50
32,Erskine,88,126,1.43
21,Long Beach St.,47,67,1.43
